,artist,song,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
885,Maison Sainte Thérèse,Ne crains pas,33,0.199,0.291,2,-19.254,0,0.0502,0.983,0.00318,0.111,0.0399,129.535,audio_features,4EVYT1jmhvvIripGEGpWMV,spotify:track:4EVYT1jmhvvIripGEGpWMV,https://api.spotify.com/v1/tracks/4EVYT1jmhvvIripGEGpWMV,https://api.spotify.com/v1/audio-analysis/4EVYT1jmhvvIripGEGpWMV,159007,3
886,Mare Cognitum,Heliacal Rising,18,0.381,0.66,10,-9.86,0,0.0457,0.242,0.651,0.329,0.252,120.262,audio_features,2uAZEaet1qMwJcDZK3KMHC,spotify:track:2uAZEaet1qMwJcDZK3KMHC,https://api.spotify.com/v1/tracks/2uAZEaet1qMwJcDZK3KMHC,https://api.spotify.com/v1/audio-analysis/2uAZEaet1qMwJcDZK3KMHC,530571,3
887,Baptists,Betterment,33,0.166,0.989,2,-4.32,1,0.281,2.37e-06,0.67,0.0741,0.185,205.719,audio_features,7j4hdUnDlhZno5LKfnaMd1,spotify:track:7j4hdUnDlhZno5LKfnaMd1,https://api.spotify.com/v1/tracks/7j4hdUnDlhZno5LKfnaMd1,https://api.spotify.com/v1/audio-analysis/7j4hdUnDlhZno5LKfnaMd1,141973,4
888,Larry Tuttle,Hot and Tasty,23,0.872,0.364,9,-5.782,0,0.0545,0.71,0.388,0.134,0.865,114.031,audio_features,7o4Nl4nWj3J1bUlpQMqF6y,spotify:track:7o4Nl4nWj3J1bUlpQMqF6y,https://api.spotify.com/v1/tracks/7o4Nl4nWj3J1bUlpQMqF6y,https://api.spotify.com/v1/audio-analysis/7o4Nl4nWj3J1bUlpQMqF6y,132193,4
889,Roberto Torres,Caballo Viejo,54,0.682,0.521,9,-11.434,0,0.249,0.549,1.63e-06,0.0311,0.832,92.728,audio_features,1anvIYY3hAtLL72lJA5z44,spotify:track:1anvIYY3hAtLL72lJA5z44,https://api.spotify.com/v1/tracks/1anvIYY3hAtLL72lJA5z44,https://api.spotify.com/v1/audio-analysis/1anvIYY3hAtLL72lJA5z44,420333,4
890,Ernesto Cavour,Leño Verde,22,0.437,0.312,4,-13.749,0,0.0615,0.424,0.827,0.0976,0.646,184.683,audio_features,3AJqeWVXsHLzMBHH2vGEG9,spotify:track:3AJqeWVXsHLzMBHH2vGEG9,https://api.spotify.com/v1/tracks/3AJqeWVXsHLzMBHH2vGEG9,https://api.spotify.com/v1/audio-analysis/3AJqeWVXsHLzMBHH2vGEG9,165532,3
891,It Looks Sad.,Creature,52,0.519,0.724,4,-7.301,1,0.0303,0.000559,0.00037,0.12,0.467,135.051,audio_features,4GV9tK5QPaD3gVSJvMxUN0,spotify:track:4GV9tK5QPaD3gVSJvMxUN0,https://api.spotify.com/v1/tracks/4GV9tK5QPaD3gVSJvMxUN0,https://api.spotify.com/v1/audio-analysis/4GV9tK5QPaD3gVSJvMxUN0,240640,4
892,Drunk Tigers,Small Town,0,0.313,0.875,4,-3.216,1,0.0365,5.01e-05,0.0255,0.147,0.522,75.829,audio_features,5YRJ6sEYoH5uZVZzuN3yvO,spotify:track:5YRJ6sEYoH5uZVZzuN3yvO,https://api.spotify.com/v1/tracks/5YRJ6sEYoH5uZVZzuN3yvO,https://api.spotify.com/v1/audio-analysis/5YRJ6sEYoH5uZVZzuN3yvO,245500,4
893,Bliss of Flesh,Tyrant,4,0.411,0.917,1,-5.149,1,0.069,2.2e-06,0.726,0.651,0.0427,99.984,audio_features,6Rg2sABpOEG1kyWHwVew8p,spotify:track:6Rg2sABpOEG1kyWHwVew8p,https://api.spotify.com/v1/tracks/6Rg2sABpOEG1kyWHwVew8p,https://api.spotify.com/v1/audio-analysis/6Rg2sABpOEG1kyWHwVew8p,250053,4
894,Shloime Daskal,Ahallelu Ahallelu,25,0.47,0.869,7,-4.056,0,0.11,0.49,0,0.112,0.782,165.029,audio_features,2WKNAPPd4F7acJjwLTw3xL,spotify:track:2WKNAPPd4F7acJjwLTw3xL,https://api.spotify.com/v1/tracks/2WKNAPPd4F7acJjwLTw3xL,https://api.spotify.com/v1/audio-analysis/2WKNAPPd4F7acJjwLTw3xL,128993,4
895,Strung Like a Horse,Fuck What They Think,41,0.616,0.174,0,-13.463,1,0.0315,0.654,0,0.128,0.192,116.682,audio_features,2hqNGFoJRlq5KPXFTGNP2D,spotify:track:2hqNGFoJRlq5KPXFTGNP2D,https://api.spotify.com/v1/tracks/2hqNGFoJRlq5KPXFTGNP2D,https://api.spotify.com/v1/audio-analysis/2hqNGFoJRlq5KPXFTGNP2D,226547,4
896,Makka Mezhieva,Королева моя,24,0.706,0.877,4,-6.883,0,0.0609,0.116,0.000217,0.0755,0.87,120.018,audio_features,2cFSicw6kpmLGCjQ2FKsqr,spotify:track:2cFSicw6kpmLGCjQ2FKsqr,https://api.spotify.com/v1/tracks/2cFSicw6kpmLGCjQ2FKsqr,https://api.spotify.com/v1/audio-analysis/2cFSicw6kpmLGCjQ2FKsqr,333918,4
897,The F16s,Moon Child,47,0.606,0.713,9,-5.987,1,0.0314,0.0568,0.00262,0.0814,0.549,120.016,audio_features,5Y4vRBs4QCUloQ5W9Wb58j,spotify:track:5Y4vRBs4QCUloQ5W9Wb58j,https://api.spotify.com/v1/tracks/5Y4vRBs4QCUloQ5W9Wb58j,https://api.spotify.com/v1/audio-analysis/5Y4vRBs4QCUloQ5W9Wb58j,279841,4
898,Rishiraj Pandey,Mor Sansaar,36,0.723,0.623,4,-6.447,0,0.0375,0.295,0,0.443,0.759,108.02,audio_features,0DqDYm0xgfSKWmmrk4v0Af,spotify:track:0DqDYm0xgfSKWmmrk4v0Af,https://api.spotify.com/v1/tracks/0DqDYm0xgfSKWmmrk4v0Af,https://api.spotify.com/v1/audio-analysis/0DqDYm0xgfSKWmmrk4v0Af,243889,4
899,Jimmy Rogers,Walking By Myself,46,0.621,0.519,11,-13.328,0,0.102,0.837,0.00246,0.162,0.775,117.005,audio_features,36ccrof5DFicLrejE4hEye,spotify:track:36ccrof5DFicLrejE4hEye,https://api.spotify.com/v1/tracks/36ccrof5DFicLrejE4hEye,https://api.spotify.com/v1/audio-analysis/36ccrof5DFicLrejE4hEye,167267,4
900,Matti Baybee,Nobody Business,14,0.875,0.452,4,-10.989,0,0.186,0.117,0,0.105,0.215,128.925,audio_features,3cjpWYTWA1aoSiOzIIUDjE,spotify:track:3cjpWYTWA1aoSiOzIIUDjE,https://api.spotify.com/v1/tracks/3cjpWYTWA1aoSiOzIIUDjE,https://api.spotify.com/v1/audio-analysis/3cjpWYTWA1aoSiOzIIUDjE,141349,4
